question,answer,keywords
"A dimensionless quantity is constructed in terms of electronic charge e, permittivity of free space 0 constant h, and speed of light c. If the dimensionless quantity is written as e 0hc and n is a non -zero integer, then ( , , , ) is given by (A) (2n, n, n, n) (B) (n, n, 2n, n) (C) (n, n, n, 2n) (D) (2n, n, 2n, 2n)","1 3 4 2 2 1 1[AT] [M L T A ] [ML T ] [LT ] 0 + 2 = 0 + = 0 = 2 3 + 2 + = 0 = + 4 = 0 = (2, , , )",electron atomic_structure
"An infinitely long wire, located on the z-axis, carries a current I along the + z-direction and produces the magnetic field . The magnitude of the line integral along a straight line from the point 3 , , 0a a to , , 0a a is given by [0 is the magnetic permeability of free space.] (A) 70I / 24 (B) 70I / 12 (C) 0I / 8 (D) 0I / 6","46 12 3 2 7 12 12 So, along the line is",integral magnetic current
"Two beads, each with charge q and mass m, are on a horizontal, frictionless, non -conducting, circular hoop of radius R. One of the beads is glued to the hoop at some point, while the other one performs small oscillatio ns about its equilibrium position along the hoop. The square of the angular frequency of the small osci llations is given by [0 is the permittivity of free space. ] (A) 2 3 0/ (4 )q R m (B) 2 3 0/ (32 )q R m (C) 2 3 0/ (8 )q R m (D) 2 3 0/ (16 )q R m","As the hoop mass is not given so it must not move or else its inertia must have some effect. 22 Also = 2 2 And x R If is the small angular displacement of free charge, then 2 2( )KqF r So, restoring force towards mean position is 2 ( ) 2sinRKqF r 2 2( ) 2 2 2·sin·sin 4 cosR RF Kq Kqam mr m R 2 2 2 22 21·sin · ·2 2 44 cos2RKq Kq xa xR mRmR So, 22 3 032q mR",force frequency chemical_equilibrium equilibrium mass
"A block of mass 5 kg moves along the x-direction subject to the force F = (20x + 10) N, with the value of x in metre. At time t = 0 s, it is at rest at position x = 1 m. The position and momentum of the block at t = (/4) s are (A) 0.5 m, 5 kg m/s (B) 0.5 m, 0 kg m/s (C) 0.5 m, 5 kg m/s (D) 1 m, 5 kg m/s","Now, 20 104 25xa x Here 2cos r R 23 4 2vdva xdx Hence 22 10 14 2 2 22v xx vv dv x dx x x 22 v x x (as particle starts moving in ve x-direction) /4 2 21 02 2x x xdx dxx x dtdtx x 1 1sin 2 12xx",force mass momentum
"A particle of mass m is moving in a circular orbit under the influence of the central force F(r) = kr, corresponding to the potential energy V(r) = kr2/2, where k is a positive force constant and r is the radial distance from the origin. L = nh, where h = h/(2), h n a positive integer. If v and E are the speed and total energy of the particle, respectively, then which of the following expression(s) is(are ) correct? (A) 2 1r nhmk (B) 2 3kv nh m (C) 2L k m mr (D) 2nh kEm","L = mvr = nh, also, 2mvkrr 2 2mv kr 2 2 2m v mkr 2mv mkr 2mvr r mk 2nh r mk 2 nhr mk Option (A) is correct Also, 22krvm ·nh k mmk 2 3kv nh m Option (B) is correct Now, T.E = 2 21 1 2 2E kr kr JEE Adavanced 2024 Paper-1 25 2E kr nhk mk knhm Option (D) is incorrect 2L h mk mnh mr 2L k m mr Option ( C) is correct",competitive_exam orbit potential force energy jee mass
"Two uniform strings of mass per unit length and 4 , and length L and 2 L, respectively, are joined at point O, and tied at two fixed ends P and Q, as shown in the figure. The strings are under a uniform tension T. If we define the frequency 01,2TvL which of the following statement(s) is(are) correct? (A) With a node at O, the minimum frequency of vibration of the composite string is v0 (B) With an antinode at O, the minimum frequency of vibration of the composite string is 2 v0 (C) When the c...","With node at O Tv 1 4 2Tv v JEE Adavanced 2024 Paper-1 26 1 1 2 2 2 4T Tm nl l 1 2 2nm 1 4m n m = 1, n = 4 With antinode at O 1 1 4 4 2 4T Tm nl l 1 1 2 2m n 1 4m n m = 1 0 min114 2vTfl (B is wrong) Also, when node at O. Total nodes = 6 (C is correct) A, C, D are correct",competitive_exam ratio frequency jee mass
"A glass beaker has a solid, plano -convex base of refractive index 1.60, as shown in the figure. The radius of curvature of the convex surface (SPU) is 9 cm, while the planar surface (STU) acts as a mirror. This beaker is filled with a liquid of refractive index n up to the level QPR . If the image of a point object O at a height of h ( OT in the figure) is formed onto itself, then, which of the following option(s) is (are) correct? (A) For n = 1.42, h = 50 cm (B) For n = 1.35, h = 36 cm (C) ...","For image to coincide with object net h f net liq lens mirror 1 1 1 12 2f f f f net 1 1 0.6 12 29 9n f From (i) and (ii) 9 (1.6 )hn JEE Adavanced 2024 Paper-1 28 For n = 1.42, h = 50 cm (A is correct) For n = 1.35, h = 36 cm (B is correct) For n = 1.45, h = 60 cm (C is incorrect) For n = 1.48, h = 75 cm (D is incorrect)",jee competitive_exam base
"The specific heat capacity of a substance is temperature dependent and is given by the formula C = kT, where k is a constant of suitable dimensions in SI units, and T is the absolute temperature. If the heat required to raise the temperature of 1 kg of the substance from 73°C to 27 °C is nk, the value of n is ______. [Given: 0 K = 273° C.]",(25000) Sol. /dQ mCdT dQ = m·C·dT = 1·kTdT 300 2 2 200300 200 2kQ kTdT 41052k = 25000 k n = 25000,thermodynamics heat temperature formula
"A point source S emits unpolarized light uniformly in all directions. At two points A and B, the ratio r = IA/IB of the intensities of light is 2. If a set of two polaroids having 45° angle between their pass -axes is placed just before point B, then the new value of r will be _____.","21I l Where l : distance from point source. 2 22A B B AI l I l 2 (1)B Al l 30 Also, due to polaroids: 2cos 45 2 4B B BI II (2) 4B BII Ratio becomes 4 times. rnew = 8",ratio
"A thin uniform rod of length L and certain mass is kept on a frictionless horizontal table with a massless string of length L fixed to one end (top view is shown in the figure). The other end of the string is pivoted to a poin t O. If a horizontal impulse P is imparted to the rod at a distance x = L / n from the mid -point of the rod (see figure), then the rod and string revolve together around the point O, with the rod remaining aligned with the string. In such a case, the value of n is ____...","M.I. of rod about centre ( O) 2 2 12 2mL Lm L 2 07 3mLI O JEE Adavanced 2024 Paper-1 33 So, angular impulse 0 03 2LP x I ...(i) and linear impulse = mvc ...(ii) where 03 2cLV ...(iii) (20 m (i)) 2 0 03 3 7 2 2 3L Lm x mL 3 14 2 9Lx L 18Lx",jee competitive_exam linear mass
